TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,MAG_P,MAG_Y,AUTO_GYRO_ROTATION_RATE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO
3158,10:43 PM,110,Auto,Active,13907.53,32.4,1038.28,0.21,-61.2,-11.8,66.11,1.87,-9.48,-7.69,-92.32,148.26,154.28,35.43,2024-05-11T08:54:37Z,46932.64,38.604702,100.825981,7,false
3158,5:58 AM,292,Auto,Inactive,8018.96,22.94,1136.81,3.3,162.55,-45.67,-72.26,-9.86,-9.73,8.84,157.51,-15.97,-111.81,43.34,2024-02-01T22:05:57Z,8610.14,11.8633332,3.3842473,10,true
3158,12:27 AM,528,Auto,Inactive,2323.42,46.49,1123.84,0.26,-74.15,168.06,-119.18,1.42,-1.65,0.95,126.16,161.27,16.56,36.63,2024-02-05T01:12:01Z,27185.03,17.4666672,121.9833298,18,true
3158,7:04 AM,825,Auto,Inactive,25645.28,-27.0,1074.82,2.63,46.08,-159.07,-154.25,-9.64,-9.36,7.5,91.32,-66.73,31.69,54.53,2024-08-27T23:53:29Z,23519.08,57.6455018,11.9253004,1,false
3158,11:01 PM,77,Manual,Active,40978.78,21.42,877.51,2.62,-175.45,7.78,112.2,-9.08,4.54,-7.36,-1.9,167.3,120.0,10.38,2024-11-26T09:28:12Z,43820.2,22.517585,113.39277,19,false
3158,5:09 PM,172,Manual,Active,43064.97,-19.62,1168.44,1.03,-74.92,71.3,-52.33,-4.48,0.82,8.58,-25.86,128.59,98.56,1.88,2024-02-10T15:44:00Z,2982.84,-11.4077673,-69.4887886,15,false
3158,3:55 PM,18,Auto,Inactive,41412.91,49.11,1041.84,1.86,-99.67,129.58,20.25,3.99,3.57,-2.72,-127.52,-73.47,-170.56,2.85,2024-09-21T04:16:03Z,18977.88,45.2645197,-74.2176156,18,true
3158,9:01 AM,732,Manual,Active,14661.36,-6.24,894.36,3.14,164.99,131.24,97.29,5.59,-8.46,-7.56,-144.01,0.19,-140.68,8.68,2024-07-04T05:58:13Z,28219.09,5.2306075,95.8670405,16,true
3158,3:23 PM,275,Auto,Inactive,9690.59,21.55,1094.33,1.09,12.72,-162.62,103.56,4.71,-6.2,0.17,179.31,144.49,134.77,25.26,2024-06-07T06:48:25Z,42176.02,55.9140499,72.2239408,3,false
3158,10:49 AM,692,Manual,Active,5421.42,-25.2,962.4,3.31,31.55,140.05,132.15,-6.19,2.5,0.47,-139.92,151.44,175.77,12.5,2024-03-25T16:30:31Z,2754.26,41.1856135,-7.8080717,1,false
3158,3:51 AM,426,Auto,Inactive,31971.81,-8.22,843.28,0.56,-41.55,174.72,145.09,-1.62,-5.31,8.35,-134.33,-16.99,65.5,26.98,2024-02-13T01:02:28Z,33732.05,16.1535575,-13.5032081,3,true
3158,12:02 PM,562,Auto,Inactive,1302.67,-12.84,1061.95,0.55,68.83,-120.02,133.88,2.29,-3.5,-1.57,82.99,-59.75,-42.23,25.28,2024-01-28T06:51:38Z,21696.59,16.7260699,95.6484241,1,false
3158,12:56 AM,924,Manual,Active,31867.17,42.27,888.12,3.45,99.65,-42.0,128.56,4.44,-9.03,4.12,97.06,112.43,-132.85,64.94,2024-04-26T05:19:32Z,16317.59,13.3041159,-14.3864656,3,true
3158,7:18 PM,297,Manual,Active,36884.61,27.35,1118.78,0.86,-127.8,-86.0,49.4,-9.01,-4.21,6.2,25.35,104.96,15.61,84.46,2024-11-20T23:38:28Z,43031.45,48.5267938,2.5096455,18,true
3158,3:24 AM,968,Auto,Active,39784.39,-21.49,905.05,2.99,101.88,-113.28,-170.84,1.25,-4.1,2.73,-118.4,-106.22,-148.43,74.48,2024-07-17T17:29:12Z,30990.09,-6.2258,106.7987,3,true
3158,8:18 PM,426,Manual,Inactive,42331.24,25.27,1138.21,3.66,8.06,105.68,64.56,-3.23,-1.35,1.19,-19.29,-28.83,142.08,57.72,2024-01-27T11:47:14Z,48912.5,28.0547578,81.614468,16,true
3158,10:45 PM,187,Manual,Active,20683.25,14.43,967.43,0.17,-80.81,132.7,160.61,-8.84,7.72,9.88,-120.07,-3.79,-80.49,42.46,2024-08-02T01:47:43Z,2783.41,14.540627,-91.570932,15,false
3158,12:24 PM,97,Auto,Inactive,38792.48,-0.97,1055.05,2.47,-101.69,-81.69,148.71,9.83,6.85,-3.99,-175.64,-8.96,15.5,72.86,2024-11-11T23:17:02Z,5008.67,53.806868,-9.1327273,9,true
3158,2:00 PM,558,Auto,Inactive,43794.78,12.76,979.28,0.53,158.93,56.48,87.31,-0.15,3.44,-4.76,-31.0,126.11,-8.38,2.43,2024-03-17T09:07:34Z,46947.29,46.9167921,36.8246053,18,false
3158,8:26 PM,226,Auto,Inactive,40337.78,12.65,880.7,2.07,81.86,154.29,77.43,-7.84,-9.12,-1.47,33.47,136.82,175.4,63.18,2024-07-07T19:30:20Z,20761.56,30.1321408,31.1366715,1,false
3158,7:12 PM,518,Manual,Active,6429.35,32.09,899.52,4.42,-153.9,-141.82,-163.29,-1.22,6.17,-2.43,3.16,-109.32,-148.1,69.7,2024-05-08T12:08:32Z,32942.97,-8.536156,-77.360077,1,true
3158,10:10 AM,710,Manual,Inactive,16902.32,7.42,1030.93,0.53,162.41,24.9,-74.36,-9.21,9.98,1.41,-6.82,53.95,111.23,73.31,2024-05-26T08:33:45Z,6979.41,15.08333,-91.71667,16,false
3158,9:57 PM,241,Auto,Inactive,10507.53,-5.27,828.07,4.6,179.75,-52.79,-47.82,6.23,-6.27,-6.64,121.33,4.2,36.1,69.51,2024-09-09T23:18:00Z,10705.9,40.1893575,-8.8601025,3,true
3158,11:54 AM,510,Auto,Active,38681.53,43.87,916.27,4.01,-9.83,176.89,-120.76,-3.2,-6.84,-0.69,-132.07,-21.4,112.26,30.33,2024-07-06T19:51:28Z,3707.76,63.503807,53.410931,11,true
3158,3:24 AM,237,Auto,Inactive,26503.88,25.64,1113.2,0.88,-92.63,52.57,15.51,-4.74,1.25,-0.63,55.47,148.77,-69.71,66.72,2024-06-18T21:12:56Z,22111.25,5.8874488,10.0191857,1,true
